max_leaf_nodes,training_accuracy,validation_accuracy
2,0.18431527053784302,0.1779351169403981
3,0.18431527053784302,0.1779351169403981
4,0.17954701579989496,0.1727119726075097
5,0.17954701579989496,0.1727119726075097
6,0.17954701579989496,0.1727119726075097
7,0.17954701579989496,0.1727119726075097
8,0.1708691962662141,0.16656026928210788
9,0.1708691962662141,0.16656026928210788
10,0.16706065381662427,0.16476118623411296
11,0.16706065381662427,0.16476118623411296
12,0.16630298622055195,0.16522546573036967
13,0.16630298622055195,0.16522546573036967
14,0.1657069543783085,0.1643549416748883
15,0.1657069543783085,0.1643549416748883
16,0.1657069543783085,0.1643549416748883
17,0.1645957085707358,0.162904068249086
18,0.1645957085707358,0.162904068249086
19,0.16275710187093384,0.16238175381579711
20,0.16275710187093384,0.16238175381579711
21,0.16275710187093384,0.16238175381579711
22,0.16275710187093384,0.16238175381579711
23,0.16227219460944764,0.16232371887876507
24,0.16227219460944764,0.16232371887876507
25,0.16145391360568961,0.16087284545296265
26,0.16145391360568961,0.16087284545296265
27,0.1611205398634178,0.16098891532702686
28,0.1593728532751445,0.1594800069641924
29,0.1593728532751445,0.1594800069641924
30,0.1593728532751445,0.1594800069641924
31,0.15877682143290095,0.15918983227903194
32,0.15877682143290095,0.15918983227903194
33,0.15877682143290095,0.15918983227903194
34,0.15877682143290095,0.15918983227903194
35,0.15877682143290095,0.15918983227903194
36,0.15877682143290095,0.15918983227903194
37,0.15877682143290095,0.15918983227903194
38,0.15877682143290095,0.15918983227903194
39,0.15877682143290095,0.15918983227903194
40,0.15877682143290095,0.15918983227903194
41,0.15877682143290095,0.15918983227903194
42,0.15877682143290095,0.15918983227903194
43,0.15877682143290095,0.15918983227903194
44,0.15784741584838569,0.15721664441994077
45,0.15784741584838569,0.15721664441994077
46,0.15784741584838569,0.15721664441994077
47,0.15767567785994263,0.15715860948290872
48,0.15767567785994263,0.15715860948290872
49,0.15717056612922775,0.156694329986652
50,0.15684729462157032,0.1570425396088445
51,0.15684729462157032,0.1570425396088445
52,0.15684729462157032,0.1570425396088445
53,0.15682709015234175,0.15727467935697292
54,0.15682709015234175,0.15727467935697292
55,0.15632197842162687,0.1569264697347803
56,0.15607952479088372,0.15686843479774826
57,0.15607952479088372,0.15686843479774826
58,0.15607952479088372,0.15686843479774826
59,0.15607952479088372,0.15686843479774826
60,0.15607952479088372,0.15686843479774826
61,0.15607952479088372,0.15686843479774826
62,0.15607952479088372,0.15686843479774826
63,0.15607952479088372,0.15686843479774826
64,0.15598860467935505,0.15675236492368405
65,0.15598860467935505,0.15675236492368405
66,0.15598860467935505,0.15675236492368405
67,0.15598860467935505,0.15675236492368405
68,0.15598860467935505,0.15675236492368405
69,0.15598860467935505,0.15675236492368405
70,0.15598860467935505,0.15675236492368405
71,0.15598860467935505,0.15675236492368405
72,0.15598860467935505,0.15675236492368405
73,0.15598860467935505,0.15675236492368405
74,0.15593809350628363,0.15710057454587667
75,0.15593809350628363,0.15710057454587667
76,0.15593809350628363,0.15710057454587667
77,0.15593809350628363,0.15710057454587667
78,0.15593809350628363,0.15710057454587667
79,0.15541277730634018,0.15715860948290872
80,0.15541277730634018,0.15715860948290872
81,0.15541277730634018,0.15715860948290872
82,0.1553319594294258,0.1570425396088445
83,0.1551905281448256,0.15628808542742734
84,0.15446316725259623,0.1558238059311705
85,0.15446316725259623,0.1558238059311705
86,0.15436214490645328,0.15570773605710642
87,0.15436214490645328,0.15570773605710642
88,0.15436214490645328,0.15570773605710642
89,0.15436214490645328,0.15570773605710642
90,0.15436214490645328,0.15570773605710642
91,0.15436214490645328,0.15570773605710642
92,0.15436214490645328,0.15570773605710642
93,0.15436214490645328,0.15570773605710642
94,0.15436214490645328,0.15570773605710642
95,0.15419040691801023,0.1555916661830422
96,0.15418030468339594,0.15564970112007426
97,0.15418030468339594,0.15564970112007426
98,0.1539984644603386,0.15570773605710642
99,0.1539984644603386,0.15570773605710642
100,0.1539984644603386,0.15570773605710642
101,0.15376611306420984,0.15605594567929892
102,0.15349335272962383,0.15553363124601005
103,0.15349335272962383,0.15553363124601005
104,0.15314987675273772,0.15553363124601005
105,0.15314987675273772,0.15553363124601005
106,0.15314987675273772,0.15553363124601005
107,0.15314987675273772,0.15553363124601005
108,0.15314987675273772,0.15553363124601005
109,0.15314987675273772,0.15553363124601005
110,0.15314987675273772,0.15553363124601005
111,0.15305895664120905,0.1555916661830422
112,0.15305895664120905,0.1555916661830422
113,0.1528165030104659,0.15518542162381754
114,0.15258415161433714,0.15506935174975334
115,0.15258415161433714,0.15506935174975334
116,0.15258415161433714,0.15506935174975334
117,0.15258415161433714,0.15506935174975334
118,0.15245282256435122,0.155475596308978
119,0.15245282256435122,0.155475596308978
120,0.15245282256435122,0.155475596308978
121,0.1522608801066796,0.15553363124601005
122,0.1522608801066796,0.15553363124601005
123,0.1522608801066796,0.15553363124601005
124,0.1521093465874651,0.15576577099413846
125,0.1521093465874651,0.15576577099413846
126,0.1521093465874651,0.15576577099413846
127,0.1521093465874651,0.15576577099413846
