feature,importance
Humidity3pm,0.2641688709726477
Pressure3pm,0.06087559980856044
Rainfall,0.05852905868781998
WindGustSpeed,0.055958527158428556
Sunshine,0.04903397499097443
Humidity9am,0.040583719894898146
MinTemp,0.0357995576569235
Pressure9am,0.03443949054844292
Temp9am,0.03314724433992678
MaxTemp,0.03240681535621866
Temp3pm,0.03138488190006072
WindSpeed3pm,0.030270247961128958
WindSpeed9am,0.028692460285248654
Evaporation,0.02261153215199393
Cloud3pm,0.01727820420988401
Cloud9am,0.013965319915524204
WindDir3pm_NW,0.004139351115998573
WindGustDir_NW,0.0038533111868963746
WindDir3pm_NNW,0.0036181284001203626
WindGustDir_WNW,0.0034217160766822872
WindDir9am_N,0.0033410027793220765
WindDir3pm_N,0.003266518231417695
WindDir9am_NE,0.0032412041271234113
WindDir9am_W,0.0030361220469466254
RainToday_Yes,0.003022578250854818
WindDir9am_NNE,0.0029761979474694795
WindGustDir_N,0.0029448231251947526
WindDir3pm_S,0.0029434206313108035
WindDir3pm_NNE,0.0029391622803842743
WindDir3pm_NE,0.002913145782165722
WindDir3pm_WNW,0.0029009760930499917
WindGustDir_SSW,0.0028473338779817442
Location_Witchcliffe,0.0027988587078642546
WindDir9am_NNW,0.002780617667451854
WindGustDir_NNE,0.0027109011721520916
WindDir9am_WNW,0.002642498396385909
WindDir3pm_SSE,0.002633126945765816
WindDir9am_ENE,0.002592782858171843
WindGustDir_SE,0.0025860663714400724
WindGustDir_WSW,0.002539385251287923
WindDir9am_NW,0.002536272914600137
WindDir3pm_ENE,0.002512489310724578
WindDir3pm_ESE,0.0024721164314759282
WindGustDir_S,0.00246712350396693
WindGustDir_SSE,0.0024496055395858388
WindGustDir_W,0.0024339093016181217
Location_Adelaide,0.002396174247466068
WindDir3pm_W,0.002388034179422482
WindDir3pm_WSW,0.0023549666716451505
WindGustDir_SW,0.0023284271240059076
WindDir3pm_SSW,0.002323239514883262
WindDir3pm_SW,0.002315380207114496
WindGustDir_ESE,0.002304470800647263
WindDir9am_S,0.0022558870508009913
WindGustDir_NE,0.002250796588613913
WindDir9am_WSW,0.002250588816136586
Location_CoffsHarbour,0.0022489302988646476
Location_Albany,0.0022329274111624496
Location_Portland,0.0022313861500338292
WindGustDir_NNW,0.0022071204745174665
WindDir9am_SE,0.0021875576148621158
WindDir3pm_SE,0.0021068794496850803
WindDir3pm_E,0.0020988570516984354
WindDir9am_SSE,0.002088952903813276
Location_MountGinini,0.0020871861941320125
Location_Wollongong,0.002059956824906627
WindDir9am_E,0.002057858111815605
WindDir9am_SW,0.0018825808322980948
WindDir9am_ESE,0.001836247562070324
Location_Dartmoor,0.0018131872379123
Location_MountGambier,0.0017802495391474173
Location_Melbourne,0.0017792275510821712
Location_Brisbane,0.0017757498714033259
WindGustDir_E,0.001766029170486777
WindDir9am_SSW,0.0017185054933498802
Location_Walpole,0.0017078494737145316
Location_BadgerysCreek,0.0016497266338221846
Location_Watsonia,0.0016242130217579268
Location_Nuriootpa,0.0015956302706778365
Location_Sale,0.0015776186710246764
Location_NorfolkIsland,0.0015692379385780788
Location_Canberra,0.001543565736284108
Location_Tuggeranong,0.0015128625201268882
WindGustDir_ENE,0.0015029298254373568
Location_Hobart,0.0014998875485572212
Location_Williamtown,0.0014877348457402306
Location_Perth,0.0014191845416763422
Location_SydneyAirport,0.0014012453735958923
Location_Albury,0.0013932163841969874
Location_Ballarat,0.0013141993825551322
Location_Sydney,0.0012718784746626034
Location_NorahHead,0.001224818877340915
Location_PearceRAAF,0.001167817059312001
Location_Cairns,0.0011595113694409058
Location_GoldCoast,0.0010509472974015767
Location_SalmonGums,0.001011625681311913
Location_WaggaWagga,0.000989546428886173
Location_PerthAirport,0.0009766995694336718
Location_Mildura,0.0009253215564584284
Location_Cobar,0.0008457407491243151
Location_Launceston,0.0007960841837647354
Location_Moree,0.0007943938566313706
Location_Penrith,0.000791909239443025
RainToday_No,0.0007758934436030797
Location_Richmond,0.0007105672963172063
Location_MelbourneAirport,0.0006900759139601144
Location_AliceSprings,0.0006644956325208604
Location_Bendigo,0.0006147332735421242
Location_Nhil,0.000613438794571475
Location_Townsville,0.0005244379663639077
Location_Newcastle,0.00043882386745709674
Location_Katherine,0.00043077248355262866
Location_Woomera,0.0004059775222006463
Location_Uluru,0.00031466945141802113
Location_Darwin,0.0001771107354658208
RainToday_nan,0.0
WindDir3pm_nan,0.0
WindGustDir_nan,0.0
WindDir9am_nan,0.0
